Interval (MS Excel Serial Value),Description,Device,OvrFd In,OvrFd Off,In Abnd,In Ans,In,Max Wait (Seconds Value),Avg Wait (Seconds Value),Avg In Ans (Seconds Value),Avg Abnd (Seconds Value),% Svc (Other Value),Tot Tlk (Seconds Value),Adv,Att Ret Abnd,Avg Answer (Other Value),Abnd After EM,Abnd Before EM,End On-Hold,Esc,Esc To,In Abnd Unique,Max Concr,Out Ans,Out,Out Fail,All Ans,All,UnMon,Trans In,Unrtrnd,Ans <= 15s,Abnd <= 60s,Max Call (Seconds Value),Max Held (Seconds Value),Max Talk (Seconds Value),Tot Call (Seconds Value),Tot Held (Seconds Value),Tot Rng (Seconds Value),Avg Call (Seconds Value),Avg Held (Seconds Value),Avg Rng (In/Out) (Seconds Value),Avg Tlk (Seconds Value),Alerting (Seconds Value),Available (Seconds Value),Busy (Seconds Value),Handling (Seconds Value),N/A (Seconds Value)
46023.0,Call Queue 03,441733372731.0,0.0,0.0,2.0,6.0,8.0,75.33441556908156,25.089980165616957,27.158601396469813,18.539240136325034,50.0,546.3680129323548,0.0,0.0,27.158601396469813,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,3.0,1.0,318.9986361562061,77.41856458234751,219.35411479589047,724.3677139987484,120.64899274584525,57.35070832054835,120.72795233312473,20.108165457640876,9.558451386758058,91.06133548872579,22.189195717240516,2600.1657842670315,748.0383861703075,725.849190453067,251.79582956266086
46023.0,Call Queue 04,441733372734.0,0.0,0.0,0.0,8.0,8.0,43.725624979640756,10.719158660910676,10.724613698341798,7.100144923250233,75.0,758.1622044148986,0.0,0.0,10.724613698341798,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,6.0,0.0,401.8972130971186,55.102696202628536,330.6873273757935,991.5622574944402,180.3497391901287,53.05031388941286,123.94528218680503,22.543717398766088,6.631289236176608,94.77027555186233,35.68040276046766,5479.797112374216,1100.133120771717,1064.4527180112493,620.0697668540672
46023.0,Call queue 02,441733372735.0,0.0,0.0,0.0,4.0,4.0,14.97382851240291,2.0,2.182636363319853,1.6031662753967302,100.0,1076.028271985044,0.0,0.0,2.182636363319853,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,1229.640436566216,236.97187217745739,983.4488585120589,1299.2001311261697,199.68390564910615,23.487953492019415,324.8000327815424,49.92097641227654,5.871988373004854,269.007067996261,16.460495454023174,5419.447661605639,1396.0557848535757,1379.5952893995525,384.4965535407857
46023.0,Call Queue 05,441733372739.0,0.0,0.0,0.0,8.0,8.0,58.94055013587488,8.464455269203379,8.902137800201352,6.458104942009865,50.0,2054.926756219212,0.0,0.0,8.902137800201352,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,4.0,0.0,989.262797065508,49.6401614304344,923.8083349874015,2201.5557588284896,81.10400187459041,65.52500073468715,275.1944698535612,10.138000234323801,8.190625091835894,256.8658445274015,26.491178308429667,4498.160271407814,2323.5185573460167,2297.027379037587,378.321171246169
46023.04166666666,Call Queue 03,441733372731.0,0.0,0.0,0.0,6.0,6.0,175.46060231049464,26.838371334988384,24.305484979672737,23.174637289841037,16.666666666666664,1566.6903907224241,0.0,0.0,24.305484979672737,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,766.4104730352985,120.65587268060696,623.7777051518534,1908.1441085039003,275.25493725053576,66.19878053094023,318.0240180839834,45.87582287508929,11.033130088490038,261.11506512040404,29.136349808686667,1285.9863962911008,2048.380186178897,2019.2438363702104,265.6334175300022
46023.04166666666,Call Queue 04,441733372734.0,0.0,0.0,0.0,4.0,4.0,71.88717541314442,11.176820692857717,11.931308775327604,9.3844691803723,25.0,1276.7966177681344,0.0,0.0,11.931308775327604,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1297.0085891671297,70.676385805406,1205.9841880763372,1376.8522058436392,61.261116138333605,38.79447193717129,344.2130514609098,15.315279034583401,9.698617984292822,319.1991544420336,21.142333608956225,5193.865431327592,1482.368574529628,1461.2262409206717,523.7659941427803
46023.04166666666,Call queue 02,441733372735.0,0.0,0.0,0.0,3.0,3.0,33.62879511145198,4.986882372900409,4.97365727077015,2.8180372937763583,66.66666666666666,589.8493157497471,0.0,0.0,4.97365727077015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,760.9066508360265,281.12003926199685,455.0669514132363,761.0762669647139,141.49045936066724,29.736491854299565,253.69208898823797,47.16348645355575,9.912163951433188,196.61643858324902,14.626176853540693,5717.426969445851,804.2389215326823,789.6127446791417,678.3341090214669
46023.04166666666,Call Queue 05,441733372739.0,0.0,0.0,0.0,11.0,11.0,61.122287233516666,17.470316296363876,16.119101497480745,13.836940697926295,36.36363636363637,1579.5379245565423,1.0,0.0,16.119101497480745,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,4.0,0.0,450.91485572008696,48.37800201661588,394.0728109215768,1873.770297490326,253.89865579874973,40.3337171350341,170.34275431730237,23.08169598170452,3.6667015577303728,143.5943567778675,49.93049046957423,4856.075117731841,1932.483281199138,1882.5527907295639,411.44160106902126
46023.08333333334,Call Queue 03,441733372731.0,0.0,0.0,0.0,7.0,7.0,92.33150982553298,24.63641368221993,22.046515256778783,20.03526894482634,42.857142857142854,2230.483681557443,1.0,0.0,22.046515256778783,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,3.0,0.0,1340.8513634674403,133.54791795730495,1197.9427657360075,2507.032318100465,229.4062448144296,47.142391728592436,358.14747401435216,32.77232068777566,6.734627389798919,318.6405259367776,22.62473450835156,665.6127791298541,2684.406231916631,2661.7814974082794,249.98098895351487
46023.08333333334,Call Queue 04,441733372734.0,0.0,0.0,0.0,7.0,7.0,31.851278535264402,10.525064656802982,9.889300270321991,8.738606651638273,71.42857142857143,2631.7993217544654,0.0,0.0,9.889300270321991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,5.0,0.0,942.6156157201804,79.69893873667502,852.354388538729,2846.1021138112474,162.92289422345837,51.37989783332354,406.5860162587496,23.274699174779766,7.3399854047605055,375.97133167920936,26.32971577952863,3626.400780762703,2961.9407565676956,2935.611040788167,611.6584626696014
46023.08333333334,Call queue 02,441733372735.0,0.0,0.0,0.0,7.0,7.0,92.00702719023985,13.621306698614077,14.115978581390165,12.255447166052953,57.14285714285714,1323.4827184446217,0.0,0.0,14.115978581390165,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,4.0,0.0,768.7971924707427,115.75506186928656,637.6501319841963,1554.9578215115373,175.39412523008343,56.08097783683203,222.13683164450532,25.056303604297632,8.011568262404575,189.06895977780312,32.0522476448985,5233.346431232863,1638.689163812999,1606.6369161681005,327.9644049541378
46023.08333333334,Call Queue 05,441733372739.0,0.0,0.0,1.0,5.0,6.0,55.331400295513774,10.270287795386874,11.126118579307587,6.457123772107984,100.0,1148.2596746436352,0.0,1.0,11.126118579307587,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,5.0,1.0,1119.8680850804462,192.09673364974702,912.3930056179111,1359.1189058127973,174.18816251888586,36.67106865027628,271.82378116255944,34.83763250377717,7.334213730055256,229.65193492872703,15.531932770225477,5178.015063000896,1429.5004140784326,1413.9684813082072,592.4845229206724
46023.125,Call Queue 03,441733372731.0,0.0,0.0,0.0,10.0,10.0,126.1413980267577,17.61229376074505,17.327698330778844,13.337331723698572,70.0,1744.3585687388907,0.0,0.0,17.327698330778844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,7.0,0.0,508.2009766914496,100.7559623681954,398.38216501676703,1973.1622869092748,177.04666942543722,51.75704874494702,197.3162286909275,17.70466694254372,5.175704874494702,174.43585687388907,31.021429614456196,4568.811197780266,2054.532108826964,2023.5106792125075,576.6566933927702
46023.125,Call Queue 04,441733372734.0,0.0,0.0,0.0,3.0,3.0,91.2099463654228,14.661676411229337,12.672742866003317,13.415662090693331,100.0,565.7969978251182,0.0,0.0,12.672742866003317,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,828.6436057207336,168.37310048405618,649.1461906009633,742.3213252369578,157.1337296916744,19.390597720165196,247.4404417456526,52.377909897224804,6.463532573388399,188.5989992750394,9.874366446343835,6002.7524521528085,810.6149483017964,800.7405818554525,386.63259954539575
46023.125,Call queue 02,441733372735.0,0.0,0.0,1.0,2.0,3.0,57.982175010396816,14.568964396356682,12.620240212844264,11.650948339200966,50.0,835.1241737209465,0.0,0.0,12.620240212844264,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1213.894694258226,153.31900403700803,1040.2280013375005,910.1245746806752,58.71223598169758,16.28816497803104,455.0622873403376,29.35611799084879,8.14408248901552,417.56208686047324,7.320038436316913,5935.108378272367,957.4285633922468,950.1085249559299,307.4630583353853
46023.125,Call Queue 05,441733372739.0,0.0,0.0,1.0,11.0,12.0,114.82353499567881,18.974871438066366,19.81092047673349,13.865549091175282,63.63636363636363,1803.9317572896484,0.0,0.0,19.81092047673349,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,7.0,1.0,591.1561651240117,126.04704142940015,453.21130587200344,2197.0628404242725,333.6548376391965,59.47624549542731,199.73298549311568,30.332257967199684,5.406931408675209,163.99379611724078,48.84345296135486,4571.056366204864,2286.796977783377,2237.953524822022,342.1466560117587
46023.16666666666,Call Queue 03,441733372731.0,0.0,0.0,0.0,3.0,3.0,11.862656635018277,3.7095147235438324,3.5493580369826097,2.1026940659450433,100.0,610.6340473465563,0.0,0.0,3.5493580369826097,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,3.0,0.0,742.2988400404581,71.8978664319112,644.8855195579342,731.5710998669371,76.98860355349534,43.94844896688541,243.857033288979,25.662867851165114,14.649482988961802,203.5446824488521,9.576122434248138,5897.037747156564,771.4028299677591,761.8267075335109,531.559422875676
46023.16666666666,Call Queue 04,441733372734.0,0.0,0.0,0.0,7.0,7.0,89.25082648188588,12.77062680884685,12.05299018062982,7.623213876733947,85.71428571428571,1031.392913493284,0.0,0.0,12.05299018062982,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,6.0,0.0,425.9805215107879,21.638428124945865,391.3211086591262,1171.1406458185024,70.54729542073008,69.2004369044884,167.30580654550033,10.078185060104298,9.8857767006412,147.34184478475484,41.11253420527658,5283.755105164228,1229.492377470663,1188.3798432653864,686.7525173651089
46023.16666666666,Call queue 02,441733372735.0,0.0,0.0,0.0,4.0,4.0,40.48578676268808,8.318743646142897,9.096238142721678,6.388217222946724,75.0,1261.8623720148923,1.0,0.0,9.096238142721678,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,3.0,0.0,884.4503757677468,87.66205267545875,784.7304633410978,1367.113860786587,73.37278108569674,31.878707685998062,341.7784651966468,18.343195271424186,7.969676921499516,315.4655930037231,15.180077580323973,5583.783805328409,1394.101022640536,1378.920945060212,222.11517203105512
46023.16666666666,Call Queue 05,441733372739.0,0.0,0.0,0.0,10.0,10.0,117.26148580589191,15.917689650171505,14.577376682546246,11.69829429729316,30.0,2234.288479478603,0.0,0.0,14.577376682546246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,11.0,11.0,0.0,0.0,0.0,3.0,0.0,673.8614365178971,181.02660532303716,484.77801365793437,2734.3797841048813,456.02411179912934,48.47391210986402,273.43797841048814,45.602411179912934,4.406719282714911,223.4288479478603,38.604724229991554,3946.4743060366545,2867.6195599539815,2829.01483572399,385.9061340093643
